,game,total_reviews,rating,primary_genre,peak_players,avg_reviews
16401,Vampire: The Masquerade — Parliament of Knives,215,87.1,Indie,215,1.0
66660,From Dust,2638,65.02,Adventure,9759,0.2703145814120299
37472,DORAEMON STORY OF SEASONS,1995,78.76,Simulation,1478,1.3497970230040595
52783,Dimension Drive,84,75.46,Indie,134,0.6268656716417911
66315,Intrusion 2,1667,83.61,Indie,317,5.2586750788643535
64232,Red Bit Ninja,29,33.43,Action,118,0.2457627118644068
1124,Power of Ten,144,73.19,Action,101,1.4257425742574257
61016,Close Order,68,50.0,Action,349,0.19484240687679083
17834,Wizardry: The Five Ordeals,328,78.94,RPG,929,0.35306781485468247
3897,Urbek City Builder,960,87.21,Simulation,665,1.443609022556391
36333,Later Alligator,1920,92.15,Indie,255,7.529411764705882
40129,Super Friends Party,398,64.69,Free,162,2.45679012345679
64860,iO,212,74.93,Action,862,0.2459396751740139
14005,Road Maintenance Simulator,123,52.8,Simulation,118,1.0423728813559323
62503,Lux Delux,339,74.76,Strategy,259,1.308880308880309
31426,Ether Loop,311,67.32,Indie,168,1.8511904761904763
52023,Tokyo Xanadu eX+,1463,82.1,RPG,302,4.844370860927152
54664,Modern Combat Versus,6838,64.05,Action,1123,6.089047195013357
30949,OneShot,34853,96.15,Action,824,42.297330097087375
6057,Fabular: Once upon a Spacetime,120,77.37,Indie,106,1.1320754716981132
21844,Hired Ops,13401,65.55,Free,1835,7.302997275204359
58282,OZMAFIA!!,602,78.53,Adventure,246,2.4471544715447155
44275,Underhero,1013,82.8,RPG,114,8.885964912280702
65039,Moebius: Empire Rising,310,70.69,Adventure,196,1.5816326530612246
29602,Apex Aim Trainer,656,74.33,Action,287,2.2857142857142856
57873,MegaTagmension Blanc + Neptune VS Zombies,1361,83.56,Action,466,2.9206008583690988
3724,Depersonalization,2834,89.18,Indie,3044,0.931011826544021
51542,Coming Out on Top,1294,90.05,Simulation,394,3.284263959390863
4599,Pool Slide Story,114,82.68,Simulation,104,1.0961538461538463
66263,Orcs Must Die! 2,18314,91.44,Action,16119,1.136174700663813
16119,秘密舞会,538,90.58,Casual,115,4.678260869565217
4202,Gilded Shadows,118,84.91,Indie,138,0.855072463768116
66018,Knytt Underground,420,79.72,Adventure,701,0.5991440798858774
24472,Horror Squad,581,55.95,Indie,128,4.5390625
62387,Monstro: Battle Tactics,26,76.62,Indie,1006,0.02584493041749503
14104,三国群英传,1046,87.47,Action,1582,0.661188369152971
62876,Evolve Stage 2,48473,68.99,Free,51127,0.9480900502669822
16044,Mitoza,2566,92.47,Adventure,126,20.365079365079364
4176,LEGO® Bricktales,527,85.02,Simulation,739,0.713125845737483
44677,Love Letter,448,79.28,Strategy,193,2.321243523316062
49282,Midair,843,54.48,Action,766,1.1005221932114881
16243,HuniePop 2: Double Date,8677,88.86,Simulation,15388,0.5638809461918378
60563,Calcu-Late,344,56.98,Indie,4024,0.08548707753479125
52865,Regalia: Of Men and Monarchs,515,74.93,RPG,294,1.751700680272109
